"Code";"Libellé"
"0111Z";"A"
"0112Z";"A"
"0113Z";"A"
"0114Z";"A"
"0115Z";"A"
"0116Z";"A"
"0119Z";"A"
"0121Z";"A"
"0122Z";"A"
"0123Z";"A"
"0124Z";"A"
"0125Z";"A"
"0126Z";"A"
"0127Z";"A"
"0128Z";"A"
"0129Z";"A"
"0130Z";"A"
"0141Z";"A"
"0142Z";"A"
"0143Z";"A"
"0144Z";"A"
"0145Z";"A"
"0146Z";"A"
"0147Z";"A"
"0149Z";"A"
"0150Z";"A"
"0161Z";"A"
"0162Z";"A"
"0163Z";"A"
"0164Z";"A"
"0170Z";"A"
"0210Z";"A"
"0220Z";"A"
"0230Z";"A"
"0240Z";"A"
"0311Z";"A"
"0312Z";"A"
"0321Z";"A"
"0322Z";"A"
"0510Z";"B"
"0520Z";"B"
"0610Z";"B"
"0620Z";"B"
"0710Z";"B"
"0721Z";"B"
"0729Z";"B"
"0811Z";"B"
"0812Z";"B"
"0891Z";"B"
"0892Z";"B"
"0893Z";"B"
"0899Z";"B"
"0910Z";"B"
"0990Z";"B"
"1011Z";"C"
"1012Z";"C"
"1013A";"C"
"1013B";"C"
"1020Z";"C"
"1031Z";"C"
"1032Z";"C"
"1039A";"C"
"1039B";"C"
"1041A";"C"
"1041B";"C"
"1042Z";"C"
"1051A";"C"
"1051B";"C"
"1051C";"C"
"1051D";"C"
"1052Z";"C"
"1061A";"C"
"1061B";"C"
"1062Z";"C"
"1071A";"C"
"1071B";"C"
"1071C";"C"
"1071D";"C"
"1072Z";"C"
"1073Z";"C"
"1081Z";"C"
"1082Z";"C"
"1083Z";"C"
"1084Z";"C"
"1085Z";"C"
"1086Z";"C"
"1089Z";"C"
"1091Z";"C"
"1092Z";"C"
"1101Z";"C"
"1102A";"C"
"1102B";"C"
"1103Z";"C"
"1104Z";"C"
"1105Z";"C"
"1106Z";"C"
"1107A";"C"
"1107B";"C"
"1200Z";"C"
"1310Z";"C"
"1320Z";"C"
"1330Z";"C"
"1391Z";"C"
"1392Z";"C"
"1393Z";"C"
"1394Z";"C"
"1395Z";"C"
"1396Z";"C"
"1399Z";"C"
"1411Z";"C"
"1412Z";"C"
"1413Z";"C"
"1414Z";"C"
"1419Z";"C"
"1420Z";"C"
"1431Z";"C"
"1439Z";"C"
"1511Z";"C"
"1512Z";"C"
"1520Z";"C"
"1610A";"C"
"1610B";"C"
"1621Z";"C"
"1622Z";"C"
"1623Z";"C"
"1624Z";"C"
"1629Z";"C"
"1711Z";"C"
"1712Z";"C"
"1721A";"C"
"1721B";"C"
"1721C";"C"
"1722Z";"C"
"1723Z";"C"
"1724Z";"C"
"1729Z";"C"
"1811Z";"C"
"1812Z";"C"
"1813Z";"C"
"1814Z";"C"
"1820Z";"C"
"1910Z";"C"
"1920Z";"C"
"2011Z";"C"
"2012Z";"C"
"2013A";"C"
"2013B";"C"
"2014Z";"C"
"2015Z";"C"
"2016Z";"C"
"2017Z";"C"
"2020Z";"C"
"2030Z";"C"
"2041Z";"C"
"2042Z";"C"
"2051Z";"C"
"2052Z";"C"
"2053Z";"C"
"2059Z";"C"
"2060Z";"C"
"2110Z";"C"
"2120Z";"C"
"2211Z";"C"
"2219Z";"C"
"2221Z";"C"
"2222Z";"C"
"2223Z";"C"
"2229A";"C"
"2229B";"C"
"2311Z";"C"
"2312Z";"C"
"2313Z";"C"
"2314Z";"C"
"2319Z";"C"
"2320Z";"C"
"2331Z";"C"
"2332Z";"C"
"2341Z";"C"
"2342Z";"C"
"2343Z";"C"
"2344Z";"C"
"2349Z";"C"
"2351Z";"C"
"2352Z";"C"
"2361Z";"C"
"2362Z";"C"
"2363Z";"C"
"2364Z";"C"
"2365Z";"C"
"2369Z";"C"
"2370Z";"C"
"2391Z";"C"
"2399Z";"C"
"2410Z";"C"
"2420Z";"C"
"2431Z";"C"
"2432Z";"C"
"2433Z";"C"
"2434Z";"C"
"2441Z";"C"
"2442Z";"C"
"2443Z";"C"
"2444Z";"C"
"2445Z";"C"
"2446Z";"C"
"2451Z";"C"
"2452Z";"C"
"2453Z";"C"
"2454Z";"C"
"2511Z";"C"
"2512Z";"C"
"2521Z";"C"
"2529Z";"C"
"2530Z";"C"
"2540Z";"C"
"2550A";"C"
"2550B";"C"
"2561Z";"C"
"2562A";"C"
"2562B";"C"
"2571Z";"C"
"2572Z";"C"
"2573A";"C"
"2573B";"C"
"2591Z";"C"
"2592Z";"C"
"2593Z";"C"
"2594Z";"C"
"2599A";"C"
"2599B";"C"
"2611Z";"C"
"2612Z";"C"
"2620Z";"C"
"2630Z";"C"
"2640Z";"C"
"2651A";"C"
