"Code";"Libellé"
"011";"Cultures non permanentes"
"012";"Cultures permanentes"
"013";"Reproduction de plantes"
"014";"Production animale"
"015";"Culture et élevage associés"
"016";"Activités de soutien à l'agriculture et traitement primaire des récoltes"
"017";"Chasse, piégeage et services annexes"
"021";"Sylviculture et autres activités forestières"
"022";"Exploitation forestière"
"023";"Récolte de produits forestiers non ligneux poussant à l'état sauvage"
"024";"Services de soutien à l'exploitation forestière"
"031";"Pêche"
"032";"Aquaculture"
"051";"Extraction de houille"
"052";"Extraction de lignite"
"061";"Extraction de pétrole brut"
"062";"Extraction de gaz naturel"
"071";"Extraction de minerais de fer"
"072";"Extraction de minerais de métaux non ferreux"
"081";"Extraction de pierres, de sables et d'argiles"
"089";"Activités extractives n.c.a."
"091";"Activités de soutien à l'extraction d'hydrocarbures"
"099";"Activités de soutien aux autres industries extractives"
"101";"Transformation et conservation de la viande et préparation de produits à base de viande"
"102";"Transformation et conservation de poisson, de crustacés et de mollusques"
"103";"Transformation et conservation de fruits et légumes"
"104";"Fabrication d’huiles et graisses végétales et animales"
"105";"Fabrication de produits laitiers"
"106";"Travail des grains"
"107";"Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires"
"108";"Fabrication d'autres produits alimentaires"
"109";"Fabrication d'aliments pour animaux"
"110";"Fabrication de boissons"
"120";"Fabrication de produits à base de tabac"
"131";"Préparation de fibres textiles et filature"
"132";"Tissage"
"133";"Ennoblissement textile"
"139";"Fabrication d'autres textiles"
"141";"Fabrication de vêtements, autres qu'en fourrure"
"142";"Fabrication d'articles en fourrure"
"143";"Fabrication d'articles à mailles"
"151";"Apprêt et tannage des cuirs"
"152";"Fabrication de chaussures"
"161";"Sciage et rabotage du bois"
"162";"Fabrication d'articles en bois, liège, vannerie et sparterie"
"171";"Fabrication de pâte à papier, de papier et de carton"
"172";"Fabrication d'articles en papier ou en carton"
"181";"Imprimerie et services annexes"
"182";"Reproduction d'enregistrements"
"191";"Cokéfaction"
"192";"Raffinage du pétrole"
"201";"Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique"
"202";"Fabrication de pesticides et d’autres produits agrochimiques "
"203";"Fabrication de peintures, vernis, encres et mastics"
"204";"Fabrication de savons, de produits d'entretien et de parfums"
"205";"Fabrication d'autres produits chimiques"
"206";"Fabrication de fibres artificielles ou synthétiques"
"211";"Fabrication de produits pharmaceutiques de base"
"212";"Fabrication de préparations pharmaceutiques"
