"0111";"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
"0112";"Culture du riz"
"0113";"Culture de légumes, de melons, de racines et de tubercules"
"0114";"Culture de la canne à sucre"
"0115";"Culture du tabac"
"0116";"Culture de plantes à fibres"
"0119";"Autres cultures non permanentes"
"0121";"Culture de la vigne"
"0122";"Culture de fruits tropicaux et subtropicaux"
"0123";"Culture d'agrumes"
"0124";"Culture de fruits à pépins et à noyau"
"0125";"Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque"
"0126";"Culture de fruits oléagineux"
"0127";"Culture de plantes à boissons"
"0128";"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
"0129";"Autres cultures permanentes"
"0130";"Reproduction de plantes"
"0141";"Élevage de vaches laitières"
"0142";"Élevage d'autres bovins et de buffles"
"0143";"Élevage de chevaux et d'autres équidés"
"0144";"Élevage de chameaux et d'autres camélidés"
"0145";"Élevage d'ovins et de caprins"
"0146";"Élevage de porcins"
"0147";"Élevage de volailles"
"0149";"Élevage d'autres animaux"
"0150";"Culture et élevage associés"
"0161";"Activités de soutien aux cultures"
"0162";"Activités de soutien à la production animale"
"0163";"Traitement primaire des récoltes"
"0164";"Traitement des semences"
"0170";"Chasse, piégeage et services annexes"
"0210";"Sylviculture et autres activités forestières"
"0220";"Exploitation forestière"
"0230";"Récolte de produits forestiers non ligneux poussant à l'état sauvage"
"0240";"Services de soutien à l'exploitation forestière"
"0311";"Pêche en mer"
"0312";"Pêche en eau douce"
"0321";"Aquaculture en mer"
"0322";"Aquaculture en eau douce"
"0510";"Extraction de houille"
"0520";"Extraction de lignite"
"0610";"Extraction de pétrole brut"
"0620";"Extraction de gaz naturel"
"0710";"Extraction de minerais de fer"
"0721";"Extraction de minerais d'uranium et de thorium"
"0729";"Extraction d'autres minerais de métaux non ferreux"
"0811";"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
"0812";"Exploitation de gravières et sablières, extraction d’argiles et de kaolin"
"0891";"Extraction des minéraux chimiques et d'engrais minéraux "
"0892";"Extraction de tourbe"
"0893";"Production de sel "
"0899";"Autres activités extractives n.c.a."
"0910";"Activités de soutien à l'extraction d'hydrocarbures"
"0990";"Activités de soutien aux autres industries extractives "
"1011";"Transformation et conservation de la viande de boucherie"
"1012";"Transformation et conservation de la viande de volaille"
"1013";"Préparation de produits à base de viande"
"1020";"Transformation et conservation de poisson, de crustacés et de mollusques"
"1031";"Transformation et conservation de pommes de terre"
"1032";"Préparation de jus de fruits et légumes"
"1039";"Autre transformation et conservation de fruits et légumes"
"1041";"Fabrication d'huiles et graisses"
"1042";"Fabrication de margarine et graisses comestibles similaires"
"1051";"Exploitation de laiteries et fabrication de fromage"
"1052";"Fabrication de glaces et sorbets"
"1061";"Travail des grains"
"1062";"Fabrication de produits amylacés"
"1071";"Fabrication de pain et de pâtisserie fraîche"
"1072";"Fabrication de biscuits, biscottes et pâtisseries de conservation"
"1073";"Fabrication de pâtes alimentaires"
"1081";"Fabrication de sucre"
"1082";"Fabrication de cacao, chocolat et de produits de confiserie"
"1083";"Transformation du thé et du café"
"1084";"Fabrication de condiments et assaisonnements"
"1085";"Fabrication de plats préparés"
"1086";"Fabrication d'aliments homogénéisés et diététiques"
"1089";"Fabrication d'autres produits alimentaires n.c.a."
"1091";"Fabrication d'aliments pour animaux de ferme"
"1092";"Fabrication d'aliments pour animaux de compagnie"
"1101";"Production de boissons alcooliques distillées"
"1102";"Production de vin (de raisin)"
"1103";"Fabrication de cidre et de vins de fruits  "
"1104";"Production d'autres boissons fermentées non distillées"
"1105";"Fabrication de bière"
"1106";"Fabrication de malt"
"1107";"Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes"
"1200";"Fabrication de produits à base de tabac"
"1310";"Préparation de fibres textiles et filature"
"1320";"Tissage"
"1330";"Ennoblissement textile"
"1391";"Fabrication d'étoffes à mailles"
"1392";"Fabrication d'articles textiles, sauf habillement"
"1393";"Fabrication de tapis et moquettes"
"1394";"Fabrication de ficelles, cordes et filets"
"1395";"Fabrication de non-tissés, sauf habillement"
"1396";"Fabrication d'autres textiles techniques et industriels"
"1399";"Fabrication d'autres textiles n.c.a."
"1411";"Fabrication de vêtements en cuir"
"1412";"Fabrication de vêtements de travail"
"1413";"Fabrication de vêtements de dessus"
"1414";"Fabrication de vêtements de dessous"
"1419";"Fabrication d'autres vêtements et accessoires"
"1420";"Fabrication d'articles en fourrure"
"1431";"Fabrication d'articles chaussants à mailles"
"1439";"Fabrication d'autres articles à mailles"
"1511";"Apprêt et tannage des cuirs"
"1512";"Fabrication d'articles de voyage, de maroquinerie et de sellerie"
"1520";"Fabrication de chaussures"
"1610";"Sciage et rabotage du bois"
"1621";"Fabrication de placage et de panneaux de bois"
"1622";"Fabrication de parquets assemblés"
"1623";"Fabrication de charpentes et d'autres menuiseries"
"1624";"Fabrication d'emballages en bois"
"1629";"Fabrication d'objets divers en bois"
"1711";"Fabrication de pâte à papier"
"1712";"Fabrication de papier et de carton"
"1721";"Fabrication de papier et carton ondulés et d'emballages en papier ou en carton"
"1722";"Fabrication d'articles en papier à usage sanitaire ou domestique"
"1723";"Fabrication d'articles de papeterie"
"1724";"Fabrication de papiers peints"
"1729";"Fabrication d'autres articles en papier ou en carton"
"1811";"Imprimerie de journaux"
"1812";"Autre imprimerie (labeur)"
"1813";"Activités de pré-presse "
"1814";"Reliure et activités connexes"
"1820";"Reproduction d'enregistrements"
"1910";"Cokéfaction"
"1920";"Raffinage du pétrole"
"2011";"Fabrication de gaz industriels"
"2012";"Fabrication de colorants et de pigments"
"2013";"Fabrication d'autres produits chimiques inorganiques de base"
"2014";"Fabrication d'autres produits chimiques organiques de base"
"2015";"Fabrication de produits azotés et d'engrais"
"2016";"Fabrication de matières plastiques de base"
"2017";"Fabrication de caoutchouc synthétique"
"2020";"Fabrication de pesticides et d’autres produits agrochimiques"
"2030";"Fabrication de peintures, vernis, encres et mastics"
"2041";"Fabrication de savons, détergents et produits d'entretien"
"2042";"Fabrication de parfums et de produits pour la toilette"
"2051";"Fabrication de produits explosifs"
"2052";"Fabrication de colles"
"2053";"Fabrication d'huiles essentielles"
"2059";"Fabrication d'autres produits chimiques n.c.a."
"2060";"Fabrication de fibres artificielles ou synthétiques"
"2110";"Fabrication de produits pharmaceutiques de base"
"2120";"Fabrication de préparations pharmaceutiques"
"2211";"Fabrication et rechapage de pneumatiques"
"2219";"Fabrication d'autres articles en caoutchouc"
"2221";"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
"2222";"Fabrication d'emballages en matières plastiques"
"2223";"Fabrication d'éléments en matières plastiques pour la construction"
"2229";"Fabrication d'autres articles en matières plastiques"
"2311";"Fabrication de verre plat"
"2312";"Façonnage et transformation du verre plat"
"2313";"Fabrication de verre creux"
"2314";"Fabrication de fibres de verre"
"2319";"Fabrication et façonnage d'autres articles en verre, y compris verre technique"
"2320";"Fabrication de produits réfractaires"
"2331";"Fabrication de carreaux en céramique"
"2332";"Fabrication de briques, tuiles et produits de construction, en terre cuite"
"2341";"Fabrication d'articles céramiques à usage domestique ou ornemental"
"2342";"Fabrication d'appareils sanitaires en céramique"
"2343";"Fabrication d'isolateurs et pièces isolantes en céramique"
"2344";"Fabrication d'autres produits céramiques à usage technique"
"2349";"Fabrication d'autres produits céramiques "
"2351";"Fabrication de ciment"
"2352";"Fabrication de chaux et plâtre"
"2361";"Fabrication d'éléments en béton pour la construction"
"2362";"Fabrication d'éléments en plâtre pour la construction"
"2363";"Fabrication de béton prêt à l'emploi"
"2364";"Fabrication de mortiers et bétons secs"
"2365";"Fabrication d'ouvrages en fibre-ciment"
"2369";"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre"
"2370";"Taille, façonnage et finissage de pierres"
"2391";"Fabrication de produits abrasifs"
"2399";"Fabrication d'autres produits minéraux non métalliques n.c.a."
"2410";"Sidérurgie"
"2420";"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier "
"2431";"Étirage à froid de barres"
"2432";"Laminage à froid de feuillards"
"2433";"Profilage à froid par formage ou pliage"
